brand,model,region,country,week,search_score,trend_label
Ford,Explorer,GCC,Qatar,2026-W09,38,Moderate
Toyota,Urban Cruiser,GCC,Qatar,2026-W09,37.9,Moderate
Suzuki,Swift,GCC,Qatar,2026-W09,37.5,Moderate
Jetour,Traveller,GCC,Qatar,2026-W09,37.3,Moderate
Land Rover,Range Rover Evoque,GCC,Qatar,2026-W09,37.1,Moderate
TANK,Tank 700,GCC,Qatar,2026-W09,37.1,Moderate
Mitsubishi,Pajero Sport,GCC,Qatar,2026-W09,36.8,Moderate
Hyundai,Alcazar,GCC,Qatar,2026-W09,36.8,Moderate
Kia,Carens,GCC,Qatar,2026-W09,36.7,Moderate
Mitsubishi,L200,GCC,Qatar,2026-W09,36.7,Moderate
Suzuki,Ertiga,GCC,Qatar,2026-W09,35.9,Moderate
Ford,Ranger,GCC,Qatar,2026-W09,35.9,Moderate
Ford,Endeavour,GCC,Qatar,2026-W09,35.6,Moderate
Hyundai,Venue,GCC,Qatar,2026-W09,34.4,Low
Kia,Sonet,GCC,Qatar,2026-W09,34.2,Low
Suzuki,Jimny,GCC,Qatar,2026-W09,34.2,Low
BMW,i7,GCC,Qatar,2026-W09,34.2,Low
BMW,Z4,GCC,Qatar,2026-W09,33.8,Low
Haval,H9,GCC,Qatar,2026-W09,33,Low
Land Rover,Range Rover Velar,GCC,Qatar,2026-W09,32.9,Low
Suzuki,Brezza,GCC,Qatar,2026-W09,32.6,Low
BMW,X1,GCC,Qatar,2026-W09,32.5,Low
Suzuki,Baleno,GCC,Qatar,2026-W09,31.6,Low
BMW,i4,GCC,Qatar,2026-W09,31.3,Low
BMW,1 Series,GCC,Qatar,2026-W09,31.1,Low
Ford,Ecosport,GCC,Qatar,2026-W09,29.8,Low
Kia,EV6,GCC,Qatar,2026-W09,29.6,Low
TANK,Tank 500,GCC,Qatar,2026-W09,28.8,Low
Hyundai,i20,GCC,Qatar,2026-W09,27.9,Low
Jetour,Dasheng,GCC,Qatar,2026-W09,25.2,Low
Hyundai,i10,GCC,Qatar,2026-W09,25,Low
BMW,2 Series,GCC,Qatar,2026-W09,23.6,Low
Mitsubishi,ASX,GCC,Qatar,2026-W09,22.9,Low
TANK,Tank 300,GCC,Qatar,2026-W09,22.6,Low
Geely,Tugella,GCC,Qatar,2026-W09,22.2,Low
Haval,Jolion,GCC,Qatar,2026-W09,21.8,Low
Suzuki,Dzire,GCC,Qatar,2026-W09,21.6,Low
Geely,Azkarra,GCC,Qatar,2026-W09,20.7,Low
Mitsubishi,Mirage,GCC,Qatar,2026-W09,20.6,Low
Ford,Aspire,GCC,Qatar,2026-W09,19.9,Minimal
Haval,H6,GCC,Qatar,2026-W09,18.9,Minimal
Ford,Figo,GCC,Qatar,2026-W09,18.6,Minimal
Jetour,X70,GCC,Qatar,2026-W09,18.6,Minimal
Hyundai,Aura,GCC,Qatar,2026-W09,16.8,Minimal
Suzuki,Alto,GCC,Qatar,2026-W09,15.8,Minimal
Haval,Dargo,GCC,Qatar,2026-W09,15.7,Minimal
Geely,Emgrand,GCC,Qatar,2026-W09,15.2,Minimal
Suzuki,Celerio,GCC,Qatar,2026-W09,14.8,Minimal
Geely,Coolray,GCC,Qatar,2026-W09,14.2,Minimal
Geely,Geometry C,GCC,Qatar,2026-W09,12.7,Minimal
Nissan,Magnite,GCC,Qatar,2026-W09,11.5,Minimal
