brand,model,keyword_type,avg_sentiment,total_mentions,viral_platforms,action_flag
Suzuki,Jimny,model_mention,0.76,569,1,buy_more
Suzuki,Dzire,model_mention,0.71,567,3,buy_more
Mitsubishi,Outlander,model_mention,0.726,561,2,buy_more
Jetour,X90,chinese_brand,0.599,516,1,price_review
Land Rover,Discovery Sport,model_mention,0.994,514,1,buy_more
Hyundai,Creta,model_mention,0.636,512,0,price_review
Kia,Sorento,model_mention,0.782,511,1,price_review
Ford,Ecosport,model_mention,0.666,487,1,price_review
Suzuki,Swift,model_mention,0.701,487,2,price_review
Land Rover,Range Rover Velar,model_mention,0.753,485,0,buy_more
Geely,Azkarra,chinese_brand,0.501,458,1,price_review
Geely,Coolray,chinese_brand,0.544,456,1,price_review
Mitsubishi,ASX,model_mention,0.749,424,1,buy_more
Haval,H9,chinese_brand,0.622,414,1,price_review
Jetour,Traveller,chinese_brand,0.648,413,0,price_review
TANK,Tank 300,chinese_brand,0.639,387,1,price_review
Hyundai,i10,model_mention,0.748,382,0,buy_more
Nissan,Maxima,model_mention,0.804,377,1,buy_more
Suzuki,Ertiga,model_mention,0.737,364,1,buy_more
Ford,Figo,model_mention,0.78,350,2,buy_more
Kia,Sportage,model_mention,0.693,346,0,price_review
Suzuki,Alto,model_mention,0.738,336,2,buy_more
Geely,Emgrand,chinese_brand,0.589,333,2,monitor
Hyundai,Venue,model_mention,0.771,302,1,buy_more
Geely,Tugella,chinese_brand,0.626,299,2,monitor
Mitsubishi,Mirage,model_mention,0.894,292,0,buy_more
Kia,Carnival,model_mention,0.767,292,0,buy_more
Jetour,X70,chinese_brand,0.574,290,1,monitor
TANK,Tank 700,chinese_brand,0.6,288,2,price_review
Toyota,Urban Cruiser,model_mention,0.879,286,0,buy_more
Mitsubishi,Pajero,model_mention,0.818,280,1,buy_more
Haval,Jolion,chinese_brand,0.548,279,2,price_review
Ford,Aspire,model_mention,0.762,272,0,buy_more
Lexus,LS,luxury_search,1,235,0,buy_more
Suzuki,Celerio,model_mention,0.71,227,0,price_review
Kia,Seltos,model_mention,0.602,192,0,price_review
TANK,Tank 500,chinese_brand,0.702,185,1,price_review
BMW,Z4,model_mention,0.989,159,0,buy_more
Geely,Geometry C,future_demand,0.384,104,1,monitor
Haval,Dargo,chinese_brand,0.856,97,0,buy_more
Jetour,Dasheng,chinese_brand,0.497,97,0,monitor
